word,word_type,meaning_vi,example,example_blank,topic,level_tag,audio_url
negotiate,v,"đàm phán, thương lượng","We need to negotiate the contract terms with the supplier.","We need to _____ the contract terms.",office,650+,
schedule,v,lên lịch trình,"The interview is scheduled for next Monday at 9 AM.","The interview is _____ for next Monday.",office,500+,
policy,n,"chính sách, quy định","Employees must strictly follow the company security policy.","Employees must follow the security _____.",office,500+,
contract,n,hợp đồng,"Both parties signed the agreement contract this morning.","Both parties signed the _____",office,500+,
executive,n,"cán bộ quản lý cao cấp","The chief executive officer announced the quarterly results.","The chief _____ officer announced results.",office,800+,
procedure,n,"quy trình, thủ tục","Please follow the standard safety procedure.","Please follow the safety _____.",office,650+,
collaborate,v,"hợp tác, phối hợp","Teams must collaborate to complete the project on time.","Teams must _____ to complete the project.",office,650+,
delegate,v,"phân công, ủy nhiệm","Managers should delegate tasks to team members.","Managers should _____ tasks.",office,750+,
facility,n,"cơ sở vật chất","Our manufacturing facility operates 24 hours a day.","Our manufacturing _____ operates 24h.",office,500+,
equipment,n,"thiết bị, dụng cụ","All office equipment was inspected last week.","All office _____ was inspected.",office,500+,
invalid_topic_word,n,từ test lỗi topic,"This is an example sentence.",,invalid_topic_code,500+,
missing_meaning_word,v,,"This is an example sentence.",,office,500+,
negotiate,v,"đàm phán trùng lặp","We need to negotiate the contract terms.",,office,650+,
